# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG+ solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(^2D) + NO -> N2O have actually three-body nature

reaction_list
------------------
# Rotational excitation
e + N2 -> e + N2*(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2*(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2*(v1),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v1),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v2),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2*(v3),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2*(v4),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2*(v5),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2*(v6),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2*(v7),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2*(v8),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2*(v1),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v1),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v2),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v2),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v3),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2*(v4),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2*(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2*(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2*(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2*(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2*(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2*(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2*(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2*(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2*(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2*(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2*(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2*(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2*(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2*(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2*(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(^4S) + N(^2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(^3P) + O(^3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(^3P) + O(^1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(^3P) + O(^1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(^3P),field_table,C28 O2 Attachment
6.985999999999999988e-01 0.000000000000000000e+00
7.317000000000000171e-01 0.000000000000000000e+00
7.662999999999999812e-01 0.000000000000000000e+00
8.025999999999999801e-01 0.000000000000000000e+00
8.407000000000000028e-01 0.000000000000000000e+00
8.804999999999999494e-01 0.000000000000000000e+00
9.222000000000000197e-01 0.000000000000000000e+00
9.658999999999999808e-01 0.000000000000000000e+00
1.012000000000000011e+00 0.000000000000000000e+00
1.060000000000000053e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.161999999999999922e+00 0.000000000000000000e+00
1.217000000000000082e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.334999999999999964e+00 0.000000000000000000e+00
1.399000000000000021e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.534000000000000030e+00 0.000000000000000000e+00
1.606999999999999984e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.762999999999999901e+00 0.000000000000000000e+00
1.846000000000000085e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.025999999999999801e+00 0.000000000000000000e+00
2.120999999999999996e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.326999999999999957e+00 0.000000000000000000e+00
2.436999999999999833e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.673999999999999932e+00 0.000000000000000000e+00
2.801000000000000156e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.072000000000000064e+00 0.000000000000000000e+00
3.217999999999999972e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.529999999999999805e+00 0.000000000000000000e+00
3.697000000000000064e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.054999999999999716e+00 0.000000000000000000e+00
4.248000000000000220e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.879999999999999893e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.354000000000000092e+00 0.000000000000000000e+00
5.607000000000000206e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.150999999999999801e+00 0.000000000000000000e+00
6.442000000000000171e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
7.067000000000000171e+00 0.000000000000000000e+00
7.402000000000000135e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.119999999999999218e+00 0.000000000000000000e+00
8.503999999999999559e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.329000000000000625e+00 0.000000000000000000e+00
9.771000000000000796e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.072000000000000064e+01 0.000000000000000000e+00
1.123000000000000043e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.232000000000000028e+01 0.000000000000000000e+00
1.290000000000000036e+01 0.000000000000000000e+00
1.350999999999999979e+01 0.000000000000000000e+00
1.415000000000000036e+01 0.000000000000000000e+00
1.482000000000000028e+01 0.000000000000000000e+00
1.551999999999999957e+01 0.000000000000000000e+00
1.626000000000000156e+01 3.610000000000000110e-27
1.703000000000000114e+01 1.099000000000000016e-26
1.782999999999999829e+01 6.894999999999999993e-26
1.867999999999999972e+01 1.964999999999999946e-25
1.955999999999999872e+01 5.355000000000000450e-25
2.048999999999999844e+01 1.437999999999999969e-24
2.146000000000000085e+01 3.606999999999999889e-24
2.248000000000000043e+01 8.706000000000000697e-24
2.353999999999999915e+01 2.025000000000000034e-23
2.466000000000000014e+01 4.610000000000000245e-23
2.582999999999999829e+01 9.995999999999999763e-23
2.705000000000000071e+01 2.100000000000000079e-22
2.832999999999999829e+01 4.277999999999999922e-22
2.967000000000000171e+01 8.467999999999999916e-22
3.107999999999999829e+01 1.629999999999999908e-21
3.254999999999999716e+01 3.071999999999999954e-21
3.409000000000000341e+01 5.612000000000000091e-21
3.571000000000000085e+01 1.001000000000000008e-20
3.739999999999999858e+01 1.743999999999999938e-20
3.917000000000000171e+01 2.971999999999999718e-20
4.103000000000000114e+01 4.977000000000000076e-20
4.296999999999999886e+01 8.133999999999999917e-20
4.500999999999999801e+01 1.303999999999999956e-19
4.714000000000000057e+01 2.050999999999999958e-19
4.936999999999999744e+01 3.169000000000000240e-19
5.171000000000000085e+01 4.811999999999999894e-19
5.415999999999999659e+01 7.203000000000000307e-19
5.671999999999999886e+01 1.058000000000000071e-18
5.940999999999999659e+01 1.528999999999999914e-18
6.222999999999999687e+01 2.175999999999999823e-18
6.517000000000000171e+01 3.052000000000000015e-18
6.826000000000000512e+01 4.219999999999999886e-18
7.148999999999999488e+01 5.747999999999999767e-18
7.487999999999999545e+01 7.721000000000000747e-18
7.843000000000000682e+01 1.023000000000000026e-17
8.214000000000000057e+01 1.337999999999999968e-17
8.603000000000000114e+01 1.727000000000000132e-17
9.010999999999999943e+01 2.200999999999999921e-17
9.437999999999999545e+01 2.772000000000000041e-17
9.884999999999999432e+01 3.449000000000000060e-17
1.035000000000000000e+02 4.243999999999999912e-17
1.084000000000000057e+02 5.170000000000000069e-17
1.135999999999999943e+02 6.228999999999999750e-17
1.190000000000000000e+02 7.433000000000000431e-17
1.245999999999999943e+02 8.788999999999999687e-17
1.305000000000000000e+02 1.029999999999999974e-16
1.366999999999999886e+02 1.197999999999999942e-16
1.430999999999999943e+02 1.383999999999999908e-16
1.499000000000000057e+02 1.586000000000000035e-16
1.570000000000000000e+02 1.807000000000000076e-16
1.645000000000000000e+02 2.047000000000000032e-16
1.723000000000000114e+02 2.305999999999999902e-16
1.804000000000000057e+02 2.584000000000000179e-16
1.890000000000000000e+02 2.881999999999999795e-16
1.979000000000000057e+02 3.201000000000000147e-16
2.073000000000000114e+02 3.538999999999999920e-16
2.170999999999999943e+02 3.898999999999999853e-16
2.274000000000000057e+02 4.280000000000000029e-16
2.381999999999999886e+02 4.681999999999999954e-16
2.495000000000000000e+02 5.106999999999999958e-16
2.613000000000000114e+02 5.552000000000000286e-16
2.736000000000000227e+02 6.018999999999999789e-16
2.866000000000000227e+02 6.508000000000000438e-16
3.001999999999999886e+02 7.017000000000000426e-16
3.143999999999999773e+02 7.547000000000000163e-16
3.293000000000000114e+02 8.097999999999999650e-16
3.448999999999999773e+02 8.668000000000000038e-16
3.611999999999999886e+02 9.257999999999999764e-16
3.783000000000000114e+02 9.866000000000000966e-16
3.963000000000000114e+02 1.049000000000000085e-15
4.150000000000000000e+02 1.112999999999999942e-15
4.346999999999999886e+02 1.179000000000000028e-15
4.553000000000000114e+02 1.245999999999999934e-15
4.768999999999999773e+02 1.314000000000000052e-15
4.995000000000000000e+02 1.384000000000000007e-15
5.231000000000000227e+02 1.453999999999999961e-15
5.478999999999999773e+02 1.525999999999999947e-15
5.737999999999999545e+02 1.597999999999999934e-15
6.010000000000000000e+02 1.669999999999999921e-15
6.295000000000000000e+02 1.742999999999999924e-15
6.592999999999999545e+02 1.815999999999999927e-15
6.906000000000000227e+02 1.889000000000000127e-15
7.232999999999999545e+02 1.961999999999999932e-15
7.575000000000000000e+02 2.035000000000000132e-15
7.933999999999999773e+02 2.107000000000000119e-15
8.310000000000000000e+02 2.177999999999999892e-15
8.703999999999999773e+02 2.249000000000000060e-15
9.116000000000000227e+02 2.318000000000000195e-15
9.547999999999999545e+02 2.386000000000000117e-15
1.000000000000000000e+03 2.452999999999999825e-15
-----------------------


C20 N2 Excitation 8.89 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000056e-01 0.000000000000000000e+00
1.047000000000000014e-01 0.000000000000000000e+00
1.097000000000000058e-01 0.000000000000000000e+00
1.149000000000000021e-01 0.000000000000000000e+00
1.203000000000000042e-01 0.000000000000000000e+00
1.260000000000000009e-01 0.000000000000000000e+00
1.320000000000000062e-01 0.000000000000000000e+00
1.383000000000000063e-01 0.000000000000000000e+00
1.448000000000000120e-01 0.000000000000000000e+00
1.517000000000000015e-01 0.000000000000000000e+00
1.589000000000000135e-01 0.000000000000000000e+00
1.663999999999999924e-01 0.000000000000000000e+00
1.743000000000000105e-01 0.000000000000000000e+00
1.824999999999999956e-01 0.000000000000000000e+00
1.912000000000000088e-01 0.000000000000000000e+00
2.001999999999999891e-01 0.000000000000000000e+00
2.096999999999999975e-01 0.000000000000000000e+00
2.195999999999999897e-01 0.000000000000000000e+00
2.300000000000000100e-01 0.000000000000000000e+00
2.409000000000000030e-01 0.000000000000000000e+00
2.524000000000000132e-01 0.000000000000000000e+00
2.642999999999999794e-01 0.000000000000000000e+00
2.767999999999999905e-01 0.000000000000000000e+00
2.898999999999999910e-01 0.000000000000000000e+00
3.037000000000000255e-01 0.000000000000000000e+00
3.180999999999999939e-01 0.000000000000000000e+00
3.331000000000000072e-01 0.000000000000000000e+00
3.488999999999999879e-01 0.000000000000000000e+00
3.654000000000000026e-01 0.000000000000000000e+00
3.826999999999999846e-01 0.000000000000000000e+00
4.008999999999999786e-01 0.000000000000000000e+00
4.198999999999999955e-01 0.000000000000000000e+00
4.398000000000000242e-01 0.000000000000000000e+00
4.606000000000000094e-01 0.000000000000000000e+00
4.823999999999999955e-01 0.000000000000000000e+00
5.052999999999999714e-01 0.000000000000000000e+00
5.292000000000000037e-01 0.000000000000000000e+00
5.543000000000000149e-01 0.000000000000000000e+00
5.805000000000000160e-01 0.000000000000000000e+00
6.079999999999999849e-01 0.000000000000000000e+00
6.368000000000000327e-01 0.000000000000000000e+00
6.670000000000000373e-01 0.000000000000000000e+00
6.985999999999999988e-01 0.000000000000000000e+00
7.317000000000000171e-01 0.000000000000000000e+00
7.662999999999999812e-01 0.000000000000000000e+00
8.025999999999999801e-01 0.000000000000000000e+00
8.407000000000000028e-01 0.000000000000000000e+00
8.804999999999999494e-01 0.000000000000000000e+00
9.222000000000000197e-01 0.000000000000000000e+00
9.658999999999999808e-01 0.000000000000000000e+00
1.012000000000000011e+00 0.000000000000000000e+00
1.060000000000000053e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.161999999999999922e+00 0.000000000000000000e+00
1.217000000000000082e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.334999999999999964e+00 0.000000000000000000e+00
1.399000000000000021e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.534000000000000030e+00 0.000000000000000000e+00
1.606999999999999984e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.762999999999999901e+00 0.000000000000000000e+00
1.846000000000000085e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.025999999999999801e+00 0.000000000000000000e+00
2.120999999999999996e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.326999999999999957e+00 0.000000000000000000e+00
2.436999999999999833e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.673999999999999932e+00 0.000000000000000000e+00
2.801000000000000156e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.072000000000000064e+00 0.000000000000000000e+00
3.217999999999999972e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.529999999999999805e+00 0.000000000000000000e+00
3.697000000000000064e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.054999999999999716e+00 0.000000000000000000e+00
4.248000000000000220e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.879999999999999893e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.354000000000000092e+00 0.000000000000000000e+00
5.607000000000000206e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.150999999999999801e+00 0.000000000000000000e+00
6.442000000000000171e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
7.067000000000000171e+00 0.000000000000000000e+00
7.402000000000000135e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.119999999999999218e+00 0.000000000000000000e+00
8.503999999999999559e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.329000000000000625e+00 0.000000000000000000e+00
9.771000000000000796e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.072000000000000064e+01 0.000000000000000000e+00
1.123000000000000043e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.232000000000000028e+01 0.000000000000000000e+00
1.290000000000000036e+01 0.000000000000000000e+00
1.350999999999999979e+01 0.000000000000000000e+00
1.415000000000000036e+01 0.000000000000000000e+00
1.482000000000000028e+01 0.000000000000000000e+00
1.551999999999999957e+01 0.000000000000000000e+00
1.626000000000000156e+01 1.436000000000000008e-28
1.703000000000000114e+01 4.397999999999999974e-28
1.782999999999999829e+01 2.693999999999999949e-26
1.867999999999999972e+01 7.902000000000000356e-26
1.955999999999999872e+01 2.213000000000000163e-25
2.048999999999999844e+01 6.189999999999999923e-25
2.146000000000000085e+01 1.594000000000000079e-24
2.248000000000000043e+01 3.945000000000000034e-24
2.353999999999999915e+01 9.398999999999999653e-24
2.466000000000000014e+01 2.186999999999999942e-23
2.582999999999999829e+01 4.846000000000000018e-23
2.705000000000000071e+01 1.039000000000000048e-22
2.832999999999999829e+01 2.157000000000000160e-22
2.967000000000000171e+01 4.347999999999999650e-22
3.107999999999999829e+01 8.514999999999999129e-22
3.254999999999999716e+01 1.630999999999999971e-21
3.409000000000000341e+01 3.023999999999999925e-21
3.571000000000000085e+01 5.469000000000000069e-21
3.739999999999999858e+01 9.656000000000000249e-21
3.917000000000000171e+01 1.666000000000000117e-20
4.103000000000000114e+01 2.823000000000000068e-20
4.296999999999999886e+01 4.661999999999999850e-20
4.500999999999999801e+01 7.543999999999999590e-20
4.714000000000000057e+01 1.197000000000000015e-19
4.936999999999999744e+01 1.864000000000000010e-19
5.171000000000000085e+01 2.850999999999999794e-19
5.415999999999999659e+01 4.294000000000000031e-19
5.671999999999999886e+01 6.338999999999999550e-19
5.940999999999999659e+01 9.203999999999999327e-19
6.222999999999999687e+01 1.314999999999999936e-18
6.517000000000000171e+01 1.848999999999999945e-18
6.826000000000000512e+01 2.561000000000000085e-18
7.148999999999999488e+01 3.492000000000000370e-18
7.487999999999999545e+01 4.690999999999999922e-18
7.843000000000000682e+01 6.211000000000000308e-18
8.214000000000000057e+01 8.108000000000000306e-18
8.603000000000000114e+01 1.043999999999999991e-17
9.010999999999999943e+01 1.326000000000000032e-17
9.437999999999999545e+01 1.662999999999999856e-17
9.884999999999999432e+01 2.057999999999999989e-17
1.035000000000000000e+02 2.517000000000000088e-17
1.084000000000000057e+02 3.045000000000000052e-17
1.135999999999999943e+02 3.638999999999999819e-17
1.190000000000000000e+02 4.304999999999999819e-17
1.245999999999999943e+02 5.041000000000000217e-17
1.305000000000000000e+02 5.848000000000000314e-17
1.366999999999999886e+02 6.724999999999999576e-17
1.430999999999999943e+02 7.671000000000000551e-17
1.499000000000000057e+02 8.682999999999999788e-17
1.570000000000000000e+02 9.758000000000000000e-17
1.645000000000000000e+02 1.089000000000000045e-16
1.723000000000000114e+02 1.209000000000000023e-16
1.804000000000000057e+02 1.334000000000000082e-16
1.890000000000000000e+02 1.463999999999999975e-16
1.979000000000000057e+02 1.598000000000000033e-16
2.073000000000000114e+02 1.736000000000000007e-16
2.170999999999999943e+02 1.879000000000000063e-16
2.274000000000000057e+02 2.025000000000000118e-16
2.381999999999999886e+02 2.173999999999999926e-16
2.495000000000000000e+02 2.326000000000000226e-16
2.613000000000000114e+02 2.479999999999999869e-16
2.736000000000000227e+02 2.635999999999999840e-16
2.866000000000000227e+02 2.791999999999999811e-16
3.001999999999999886e+02 2.950000000000000111e-16
3.143999999999999773e+02 3.107000000000000000e-16
3.293000000000000114e+02 3.264999999999999806e-16
3.448999999999999773e+02 3.422000000000000188e-16
3.611999999999999886e+02 3.578000000000000159e-16
3.783000000000000114e+02 3.731999999999999802e-16
3.963000000000000114e+02 3.883000000000000185e-16
4.150000000000000000e+02 4.032000000000000239e-16
4.346999999999999886e+02 4.178000000000000048e-16
4.553000000000000114e+02 4.321000000000000103e-16
4.768999999999999773e+02 4.459000000000000078e-16
4.995000000000000000e+02 4.592999999999999889e-16
5.231000000000000227e+02 4.721999999999999618e-16
5.478999999999999773e+02 4.846000000000000253e-16
5.737999999999999545e+02 4.964000000000000395e-16
6.010000000000000000e+02 5.076000000000000046e-16
6.295000000000000000e+02 5.182000000000000190e-16
6.592999999999999545e+02 5.281000000000000419e-16
6.906000000000000227e+02 5.372999999999999744e-16
7.232999999999999545e+02 5.458000000000000139e-16
7.575000000000000000e+02 5.535000000000000207e-16
7.933999999999999773e+02 5.605000000000000359e-16
8.310000000000000000e+02 5.665999999999999772e-16
8.703999999999999773e+02 5.720000000000000255e-16
9.116000000000000227e+02 5.766000000000000411e-16
9.547999999999999545e+02 5.802999999999999829e-16
1.000000000000000000e+03 5.831999999999999906e-16
-----------------------


C21 N2 Excitation 11.03 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000056e-01 0.000000000000000000e+00
1.047000000000000014e-01 0.000000000000000000e+00
1.097000000000000058e-01 0.000000000000000000e+00
1.149000000000000021e-01 0.000000000000000000e+00
1.203000000000000042e-01 0.000000000000000000e+00
1.260000000000000009e-01 0.000000000000000000e+00
1.320000000000000062e-01 0.000000000000000000e+00
1.383000000000000063e-01 0.000000000000000000e+00
1.448000000000000120e-01 0.000000000000000000e+00
1.517000000000000015e-01 0.000000000000000000e+00
1.589000000000000135e-01 0.000000000000000000e+00
1.663999999999999924e-01 0.000000000000000000e+00
1.743000000000000105e-01 0.000000000000000000e+00
1.824999999999999956e-01 0.000000000000000000e+00
1.912000000000000088e-01 0.000000000000000000e+00
2.001999999999999891e-01 0.000000000000000000e+00
2.096999999999999975e-01 0.000000000000000000e+00
2.195999999999999897e-01 0.000000000000000000e+00
2.300000000000000100e-01 0.000000000000000000e+00
2.409000000000000030e-01 0.000000000000000000e+00
2.524000000000000132e-01 0.000000000000000000e+00
2.642999999999999794e-01 0.000000000000000000e+00
2.767999999999999905e-01 0.000000000000000000e+00
2.898999999999999910e-01 0.000000000000000000e+00
3.037000000000000255e-01 0.000000000000000000e+00
3.180999999999999939e-01 0.000000000000000000e+00
3.331000000000000072e-01 0.000000000000000000e+00
3.488999999999999879e-01 0.000000000000000000e+00
3.654000000000000026e-01 0.000000000000000000e+00
3.826999999999999846e-01 0.000000000000000000e+00
4.008999999999999786e-01 0.000000000000000000e+00
4.198999999999999955e-01 0.000000000000000000e+00
4.398000000000000242e-01 0.000000000000000000e+00
4.606000000000000094e-01 0.000000000000000000e+00
4.823999999999999955e-01 0.000000000000000000e+00
5.052999999999999714e-01 0.000000000000000000e+00
5.292000000000000037e-01 0.000000000000000000e+00
5.543000000000000149e-01 0.000000000000000000e+00
5.805000000000000160e-01 0.000000000000000000e+00
6.079999999999999849e-01 0.000000000000000000e+00
6.368000000000000327e-01 0.000000000000000000e+00
6.670000000000000373e-01 0.000000000000000000e+00
6.985999999999999988e-01 0.000000000000000000e+00
7.317000000000000171e-01 0.000000000000000000e+00
7.662999999999999812e-01 0.000000000000000000e+00
8.025999999999999801e-01 0.000000000000000000e+00
8.407000000000000028e-01 0.000000000000000000e+00
8.804999999999999494e-01 0.000000000000000000e+00
9.222000000000000197e-01 0.000000000000000000e+00
9.658999999999999808e-01 0.000000000000000000e+00
1.012000000000000011e+00 0.000000000000000000e+00
1.060000000000000053e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.161999999999999922e+00 0.000000000000000000e+00
1.217000000000000082e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.334999999999999964e+00 0.000000000000000000e+00
1.399000000000000021e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.534000000000000030e+00 0.000000000000000000e+00
1.606999999999999984e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.762999999999999901e+00 0.000000000000000000e+00
1.846000000000000085e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.025999999999999801e+00 0.000000000000000000e+00
2.120999999999999996e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.326999999999999957e+00 0.000000000000000000e+00
2.436999999999999833e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.673999999999999932e+00 0.000000000000000000e+00
2.801000000000000156e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.072000000000000064e+00 0.000000000000000000e+00
3.217999999999999972e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.529999999999999805e+00 0.000000000000000000e+00
3.697000000000000064e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.054999999999999716e+00 0.000000000000000000e+00
4.248000000000000220e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.879999999999999893e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.354000000000000092e+00 0.000000000000000000e+00
5.607000000000000206e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.150999999999999801e+00 0.000000000000000000e+00
6.442000000000000171e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
7.067000000000000171e+00 0.000000000000000000e+00
7.402000000000000135e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.119999999999999218e+00 0.000000000000000000e+00
8.503999999999999559e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.329000000000000625e+00 0.000000000000000000e+00
9.771000000000000796e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.072000000000000064e+01 0.000000000000000000e+00
1.123000000000000043e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.232000000000000028e+01 0.000000000000000000e+00
1.290000000000000036e+01 0.000000000000000000e+00
1.350999999999999979e+01 0.000000000000000000e+00
1.415000000000000036e+01 0.000000000000000000e+00
1.482000000000000028e+01 0.000000000000000000e+00
1.551999999999999957e+01 0.000000000000000000e+00
1.626000000000000156e+01 0.000000000000000000e+00
1.703000000000000114e+01 0.000000000000000000e+00
1.782999999999999829e+01 0.000000000000000000e+00
1.867999999999999972e+01 0.000000000000000000e+00
1.955999999999999872e+01 0.000000000000000000e+00
2.048999999999999844e+01 1.707000000000000103e-26
2.146000000000000085e+01 5.318000000000000096e-26
2.248000000000000043e+01 1.577999999999999894e-25
2.353999999999999915e+01 4.468000000000000206e-25
2.466000000000000014e+01 1.419000000000000023e-24
2.582999999999999829e+01 3.752999999999999843e-24
2.705000000000000071e+01 9.550000000000000511e-24
2.832999999999999829e+01 2.340999999999999874e-23
2.967000000000000171e+01 5.537000000000000376e-23
3.107999999999999829e+01 1.265999999999999957e-22
3.254999999999999716e+01 2.813999999999999894e-22
3.409000000000000341e+01 6.027999999999999713e-22
3.571000000000000085e+01 1.252999999999999933e-21
3.739999999999999858e+01 2.530999999999999944e-21
3.917000000000000171e+01 4.971000000000000147e-21
4.103000000000000114e+01 9.547000000000000121e-21
4.296999999999999886e+01 1.778999999999999896e-20
4.500999999999999801e+01 3.235000000000000264e-20
4.714000000000000057e+01 5.744000000000000020e-20
